x,y,z,c,t
1788,1236,1723,5,7
1298,1917,2335,6,4
251,2347,1836,8,9
344,1270,1875,7,4
739,314,826,6,3
1669,684,112,6,6
296,1141,1431,6,2
1629,333,722,6,5
2309,1292,2161,5,3
2031,1742,1919,6,4
2021,2001,495,6,2
1342,2411,1657,9,4
794,637,1858,5,1
254,1586,2143,6,4
2008,1935,411,7,5
83,926,454,2,1
1452,1681,1365,2,1
858,698,1346,7,2
2129,1311,300,6,3
286,1016,532,6,3
961,2420,872,6,4
2190,144,728,1,1
2209,1380,2290,7,2
86,860,858,6,2
1443,891,1620,7,4
137,1876,2389,7,3
1096,2332,2278,8,8
1243,1415,1330,5,2
1142,905,2013,2,1
648,1464,961,7,7
2376,1040,133,6,3
1704,1630,26,5,3
69,783,2284,5,2
957,2483,1487,2,2
2430,1225,47,4,3
1910,449,766,4,3
658,989,1018,7,7
208,2390,663,4,2
1163,2220,1938,5,4
492,911,1261,5,2
540,1265,1980,6,6
1614,1050,1712,1,1
32,2208,1730,2,1
1534,1704,2140,5,3
1550,954,787,1,1
2495,1762,911,1,1
161,2393,1843,5,3
827,1180,1878,6,3
202,902,1242,6,4
1607,2145,1289,2,1
1955,1942,1186,8,5
1706,1804,1710,4,1
417,1007,350,8,6
2137,446,688,1,0
840,1797,502,2,1
509,1705,2328,7,4
873,832,1987,3,2
405,254,919,8,11
340,117,1042,4,3
392,1439,587,6,2
1046,1434,1188,7,3
245,1149,1949,5,5
2172,1810,1663,6,3
1716,36,1225,8,5
1539,2309,1497,5,6
1116,2161,1876,6,7
2408,276,2192,6,4
1592,1568,352,5,2
2189,709,1563,4,4
1224,837,888,8,4
744,765,1177,6,7
1871,1572,386,5,4
2106,1987,919,7,5
628,315,1140,4,4
2021,1064,2485,5,1
1590,445,2311,4,1
1339,201,92,6,3
476,1507,579,7,4
2268,834,1719,7,6
2428,1789,1291,5,6
1271,1089,2013,7,4
146,2415,1451,7,3
1090,2370,1909,6,3
1959,2187,1643,2,1
184,1875,1566,6,8
1958,1932,1335,6,4
405,2364,1451,6,4
602,1217,2014,6,2
2348,1553,1907,2,2
2198,76,2018,6,4
2116,1736,255,6,3
2371,437,1187,4,4
1994,946,574,8,5
352,382,1138,8,4
2303,2135,2302,7,2
192,727,2392,6,2
2006,2412,1793,8,2
153,584,2015,7,4
1394,1943,1651,4,4
1206,623,820,4,3
411,1036,811,4,4
14,866,1008,4,1
258,1445,1080,8,9
1328,474,1226,7,4
1390,1428,1052,5,7
433,91,1242,8,6
1523,811,303,7,7
1904,295,2411,8,3
239,97,2023,6,4
943,1928,2252,6,3
1285,2162,31,5,4
687,1854,975,8,3
2399,2361,1802,8,5
913,2448,2019,6,1
2010,2442,2019,4,3
1170,282,1510,1,0
737,844,286,6,3
2301,2389,325,8,4
130,1335,1993,5,6
1742,2219,53,7,5
829,1889,499,7,2
1047,2015,440,5,3
379,800,1487,4,2
1860,1446,941,3,2
520,2437,1653,7,5
1811,2324,2445,2,1
8,483,2346,2,1
2093,671,395,2,1
2483,2277,2373,7,2
394,2148,232,5,3
2068,2311,932,3,1
1427,1204,96,8,5
1345,1894,743,1,1
915,236,52,4,1
1736,1358,2144,7,3
154,551,2286,10,3
879,309,635,6,3
1039,1321,298,8,5
2032,551,1196,4,2
11,2260,1031,4,2
83,623,1349,8,6
263,701,1521,6,3
44,1775,1015,8,5
1287,1168,1409,7,4
1716,1618,1452,5,3
1582,2273,169,9,9
260,249,984,6,2
2372,1348,152,6,3
975,635,911,3,2
1325,2241,1661,9,4
622,1094,1598,5,3
1608,1508,1579,5,4
2099,1713,63,7,6
2025,661,2305,8,5
505,154,1393,8,2
1544,1725,1034,4,2
1544,1328,1294,7,5
836,1768,1842,7,6
994,2285,264,4,3
492,1372,996,6,3
1861,2421,2198,5,2
2175,1779,1989,7,6
1655,1055,383,7,1
1956,2043,479,6,4
622,732,67,6,3
1933,724,1544,5,2
2083,1343,101,8,9
1103,544,1922,5,3
684,419,147,3,3
1647,2196,1527,6,6
2419,2246,595,4,3
560,530,301,6,2
331,2156,1919,1,1
1150,398,12,4,2
23,1059,2031,7,5
1033,452,2316,8,6
2436,1090,2405,1,0
599,712,601,4,7
1355,483,222,4,1
630,2288,193,5,5
105,695,201,6,4
610,2335,1292,8,3
1625,1316,1752,6,4
185,1452,1810,8,4
833,258,1088,6,4
1914,938,1777,1,0
2027,155,2167,2,2
930,1476,1229,2,2
55,670,901,5,3
1274,2275,1947,7,5
1217,372,2479,2,1
982,2009,647,6,4
1948,623,1933,8,10
2289,2357,1215,8,8
531,2333,43,6,8
1534,244,1497,6,6
874,209,774,7,4
486,855,1654,7,5
1932,2129,1629,2,1
2419,258,1839,4,4
594,94,484,7,5
790,1522,2135,8,8
1823,1833,2050,6,4
284,1287,361,6,4
1884,289,805,3,1
2093,1283,2338,5,2
1512,62,1723,6,4
1838,239,1736,8,5
1338,674,930,3,3
1130,1287,1330,2,2
1358,514,1087,6,3
2240,2069,1341,8,5
338,1778,1028,6,3
1200,2210,2106,5,1
1920,493,1599,6,5
778,2008,196,8,4
1965,1312,2375,5,3
836,516,1334,6,3
322,1922,1801,7,5
2107,688,1673,4,1
1015,2296,786,5,2
742,19,653,4,3
226,1719,735,5,2
2228,693,967,8,6
1219,2498,1399,4,3
732,1927,654,2,1
1998,710,1177,1,1
1331,977,786,0,0
275,1334,2320,8,8
1924,491,2249,7,6
717,1838,1808,6,5
670,1049,2104,4,2
2166,1275,231,4,1
745,1542,405,6,2
333,2271,1565,8,5
830,248,2116,6,2
1555,1042,818,1,1
300,390,359,3,2
2194,462,1107,8,3
1384,863,622,4,2
627,827,2258,4,2
967,556,263,8,2
1911,2063,1534,6,6
1655,1074,954,6,3
726,2148,685,4,2
58,1459,1449,3,2
1529,2263,1918,3,1
2280,2239,1725,7,2
778,1176,1948,6,6
1817,1029,813,4,3
1922,907,426,8,5
1009,779,898,2,1
2082,2391,245,5,9
464,1183,2071,4,2
707,1000,1285,8,3
1490,2087,2101,5,5
2374,1488,1710,1,0
313,2263,878,2,1
2137,2466,1685,7,6
113,1261,2004,3,3
1903,1006,851,6,5
2458,2285,2177,8,4
1834,1605,1362,3,2
775,1452,2479,6,0
403,316,957,2,1
703,1156,448,2,2
800,866,2003,8,4
962,1910,1420,4,2
351,1425,1027,6,2
1654,2023,308,8,1
1382,37,1909,6,4
229,1487,356,8,4
827,1259,431,7,4
1526,836,1389,0,0
63,2373,44,6,5
1427,1621,420,8,8
1528,2414,1284,5,2
2217,719,1323,1,1
460,227,1721,8,5
1281,1545,2201,6,4
986,99,804,9,6
2032,1520,2119,8,11
2166,98,165,5,3
1298,3,792,4,1
1667,1944,2474,8,8
1082,1274,1222,6,3
12,1026,1021,5,5
2220,198,2039,6,2
551,2198,825,4,1
2460,1715,339,7,6
2389,802,358,8,5
569,116,1551,7,4
1613,1796,1316,4,5
2417,2460,1199,8,4
1866,723,711,4,2
382,1710,97,3,1
2448,244,617,8,4
1761,2490,118,5,3
949,403,2450,4,3
654,2465,629,8,7
785,958,1242,8,8
1886,1884,1088,7,4
134,2376,383,2,1
751,2414,1545,6,8
501,1406,2368,5,1
486,773,1492,1,0
1130,150,875,7,3
1258,2139,816,5,5
1685,2258,56,7,5
147,960,939,5,5
2016,499,2154,1,1
1539,767,679,4,1
266,1576,1671,7,2
256,2069,902,8,5
1965,393,1094,8,9
704,744,759,9,7
627,2067,972,7,6
1021,525,2271,4,1
1218,1137,1884,8,1
775,2026,222,4,2
2438,170,712,2,1
170,364,213,8,1
1405,638,1972,4,2
1006,2448,1542,8,5
38,1296,2150,9,4
545,731,190,4,1
2194,1545,321,1,1
871,1439,1730,4,2
1049,210,1939,7,1
673,76,639,5,3
964,360,894,6,6
911,1651,903,6,3
1473,925,495,6,3
1938,1841,1683,8,4
630,1614,494,5,1
2332,2246,1624,12,6
471,125,1164,6,3
1813,1966,805,5,4
317,853,10,6,2
2334,777,1587,7,4
325,1623,950,4,3
410,2125,2125,8,7
285,452,445,6,4
298,1371,2188,6,3
2446,2071,2383,1,1
2478,938,1557,8,5
1502,189,2038,5,2
732,1892,1225,6,3
954,403,1956,2,1
2021,2201,1344,4,4
1427,1466,1303,2,2
1578,1527,265,6,1
890,394,2322,6,2
2379,879,1082,7,1
2075,511,1915,6,1
343,2285,2337,3,2
777,2142,78,4,4
1174,2102,565,7,4
1008,1969,2402,2,1
1735,233,177,7,7
650,1457,2361,8,7
298,878,2237,8,4
473,1404,580,3,2
2458,317,2406,5,3
94,767,1086,0,0
362,1440,800,4,4
1901,1282,2177,2,2
2079,1400,610,8,5
2302,1355,448,6,1
471,860,234,4,1
884,2400,2100,10,8
1646,2324,1073,8,5
12,800,1258,4,2
1698,125,1274,8,1
1480,712,2005,3,2
1767,327,866,2,1
779,1949,1260,8,9
1742,1427,1841,3,2
837,1922,2239,8,7
1559,269,1688,4,2
1952,426,300,1,1
292,269,901,8,4
905,1653,2052,4,4
1726,2100,2210,7,5
284,492,2300,4,5
106,1768,1645,7,3
824,393,1529,7,1
470,779,608,7,5
2190,2158,837,5,3
1240,1594,2400,6,2
2001,1518,763,2,2
1328,1085,2282,6,6
1540,489,55,6,4
1676,1885,1713,5,2
2318,1291,1611,8,3
1156,2063,1782,5,1
531,1306,1689,4,3
812,1378,1378,5,2
252,251,1205,6,2
2100,285,307,0,1
2209,1557,2190,6,5
687,67,782,5,3
891,809,2485,6,7
702,1329,531,2,2
787,648,2245,2,1
685,2196,2455,5,4
333,1417,2412,4,3
511,1480,1845,7,4
1109,741,1319,1,1
478,588,482,8,8
1288,338,1140,6,0
637,586,1687,8,11
376,1949,806,4,1
967,1136,1444,4,2
2489,179,381,7,3
851,1269,1534,2,2
32,1560,480,5,5
734,1340,631,5,3
637,669,924,5,2
2158,1038,1396,5,4
1522,818,847,6,3
1800,813,1160,6,5
1402,2471,1154,5,4
913,1675,2118,8,4
1390,1263,2311,8,6
2270,119,418,3,1
116,1454,2445,6,3
627,1409,1672,8,2
1088,1054,532,7,3
2210,961,663,6,2
1464,752,1013,0,0
97,160,153,8,5
617,334,426,4,2
505,1152,135,8,8
2273,510,1204,8,5
158,649,1537,3,2
2284,2352,2406,7,7
1058,2292,196,4,2
1176,2283,1277,4,1
330,1415,2458,9,4
1552,2317,1393,2,1
1850,1027,2011,7,5
1102,1125,496,6,2
1321,1175,2171,6,3
156,1694,807,1,0
2226,562,823,8,3
1243,361,1564,8,5
1369,357,2091,7,8
977,149,1343,5,2
1619,522,539,4,3
2407,1147,1861,5,1
1512,1215,2187,13,5
2015,2439,786,7,8
784,2390,1079,3,2
2375,538,2304,7,2
502,1992,967,2,2
620,2245,2102,5,3
1725,1329,891,3,3
1056,307,1775,7,2
1599,934,2118,6,2
615,1012,676,1,1
1956,1898,80,2,2
2478,2268,2468,7,5
1648,575,1980,8,11
1270,630,1851,8,7
2350,1414,1417,4,2
1954,972,2011,7,9
884,1076,877,8,2
313,210,584,7,7
504,2359,2328,4,2
749,1010,2117,6,4
1202,2153,16,6,4
1320,585,621,4,1
878,1906,824,7,3
1460,1846,354,5,2
1702,1455,1795,3,1
200,218,200,3,1
1364,2487,1856,6,4
2036,1721,1044,3,2
330,740,1844,8,6
740,558,950,8,7
2020,2062,1401,8,5
1649,1548,1303,7,5
1375,1184,609,7,6
405,1155,2354,7,3
2284,959,570,4,3
2319,10,748,3,2
442,209,1152,8,5
986,1033,700,4,2
1308,160,575,6,6
1053,195,2455,5,3
682,1274,250,5,3
1739,309,300,6,4
51,2460,299,6,3
2115,2342,2322,11,7
1906,2499,2046,3,3
124,86,176,3,2
481,1499,1208,6,2
1570,2439,2098,5,2
1354,1637,3,6,3
296,1819,259,8,6
175,1023,2349,6,2
463,1615,1966,4,2
1232,1211,134,3,2
402,296,272,3,3
1703,1251,2431,9,6
335,1554,2136,6,4
2200,1327,2206,5,1
1678,1041,896,5,6
2427,1278,1457,5,1
1833,431,1837,7,3
2102,2048,1496,2,2
720,1888,1142,6,3
2131,230,380,8,5
1460,938,1746,5,4
1345,1817,731,7,2
1295,2029,35,2,1
2202,108,2021,1,1
729,1937,1815,6,2
2432,2497,2174,6,5
751,1411,547,8,4
1606,633,345,6,4
605,954,2314,8,7
2022,2146,419,5,3
2229,389,2039,5,3
1061,2330,1720,3,2
518,1724,2078,6,1
1080,842,974,7,5
1687,1757,1027,4,3
388,18,1419,2,1
393,2252,268,3,2
31,1838,403,8,7
60,1294,975,6,8
1629,91,485,8,3
413,1357,102,3,2
584,200,1088,9,3
26,1853,2337,4,1
1606,206,2315,6,6
765,1176,1535,5,5
926,1250,1661,5,2
1111,2029,266,6,6
1287,2384,2074,4,7
1608,980,1834,5,1
1608,1418,1935,5,6
384,1,948,3,2
1694,65,106,2,1
1427,2176,1944,0,0
2113,1491,510,8,3
2123,237,1235,6,2
1465,2103,1370,4,1
2433,165,397,5,2
2194,791,2169,8,5
1897,1459,566,7,3
265,1816,2345,1,0
1134,1123,2357,5,4
1948,899,178,11,7
1668,2390,1739,7,6
1767,277,467,3,2
422,1480,629,5,3
1619,550,520,9,8
176,481,2163,6,5
2013,1726,266,5,3
2426,1736,2044,5,5
935,290,2203,6,4
1695,1615,67,8,4
1446,2478,568,7,8
2090,770,1661,8,5
1125,122,1960,5,2
648,235,2384,1,0
1556,396,546,8,4
1835,1861,696,7,4
1898,1090,445,8,6
2327,388,1601,4,2
2500,2461,421,8,5
1914,2303,941,8,4
2042,1610,751,4,3
2002,2069,11,6,2
2179,2160,2377,3,2
869,136,376,1,1
2041,1766,665,2,2
624,1562,544,1,1
2131,535,302,6,3
82,2041,1098,4,3
1433,131,2261,4,1
2233,1566,2498,2,2
2342,1279,111,5,2
946,2357,1139,8,2
2009,1540,928,7,4
954,2473,579,5,2
1726,703,2136,4,1
597,2249,889,6,2
1545,561,156,1,0
1120,1190,31,6,7
1941,1422,437,8,2
726,844,1120,3,2
1929,1331,1611,4,3
163,1305,1850,5,5
1387,547,1842,6,7
167,624,1343,7,4
2438,175,1626,6,5
2151,466,1941,8,7
1494,1472,2021,6,2
1492,1199,2199,8,6
1968,2111,1835,2,1
1236,1900,1677,8,1
198,1854,1299,8,5
2078,2439,1048,0,0
1986,2446,1678,11,11
862,1173,971,2,1
1006,1334,20,6,5
161,1762,203,10,6
1022,2344,1555,6,2
1310,1206,2302,2,2
2479,1613,1658,6,6
1649,140,1283,6,6
165,1218,1214,4,3
312,1775,2038,5,6
2412,1427,361,7,7
1109,1264,2139,8,5
1541,2348,1270,3,1
986,1471,1057,8,2
199,668,1300,8,8
812,811,1529,8,8
1011,461,594,2,1
1490,712,2241,6,4
2011,1330,200,4,0
2433,2286,1879,8,3
554,2108,1825,8,5
1393,277,1215,3,2
666,1148,833,5,1
309,183,1570,8,4
495,2363,530,5,4
111,1215,767,2,2
268,580,1854,6,2
1984,952,304,2,2
1382,2287,2321,6,3
244,2356,1570,4,1
1079,960,588,5,2
2447,293,1143,8,10
486,1712,1260,6,9
2201,1190,1163,7,7
316,852,2147,4,2
2299,1897,1568,6,0
106,1397,1808,8,5
376,2190,1096,8,4
1003,334,2073,3,3
311,158,1651,8,7
1910,2383,2049,6,3
146,1299,883,3,2
2399,2397,1444,6,1
1188,2061,2343,7,3
2154,94,2172,9,7
235,2335,105,8,4
582,1742,793,6,3
1255,756,2029,4,3
1866,523,1976,0,0
53,1450,1699,2,2
1080,2350,2409,4,3
2140,1380,970,4,4
465,1059,551,7,0
2057,489,1904,5,5
1809,6,1705,2,1
1605,1596,452,4,5
1311,1341,1553,3,3
1978,1750,620,5,2
1713,183,1156,7,3
1375,1411,1170,8,4
1881,1382,1750,6,5
507,1110,1982,6,7
2137,1099,1380,6,4
1204,964,1368,6,7
1587,207,2002,7,1
2249,1358,2388,6,7
846,1819,1111,8,8
213,621,2255,2,2
1457,1702,1865,1,1
1209,365,1026,6,7
2169,1519,2425,4,3
596,1796,1501,7,4
405,925,1459,6,3
1233,184,2453,6,3
1700,676,2431,2,1
2065,387,2174,7,5
2161,1232,399,5,2
936,360,1296,4,5
850,894,1320,3,3
27,1453,1188,0,0
2492,603,1678,1,0
1128,1617,1308,8,8
1154,1439,474,6,2
592,1721,563,8,5
1361,1963,2268,15,6
584,254,1456,6,3
369,1125,237,5,4
243,168,882,6,3
2292,971,1277,7,5
1066,1777,1199,8,4
948,2396,1294,8,6
184,250,515,4,2
1370,1814,1432,7,3
1464,2233,205,5,1
2214,1220,1744,4,1
1618,1311,1511,5,1
788,72,1257,4,3
1713,1876,198,5,2
521,1687,364,8,7
495,2,4,8,8
661,2243,1646,7,7
1232,1721,714,1,0
2206,430,1710,5,2
55,2011,930,6,2
68,851,1116,3,1
549,813,1357,6,2
1980,2394,1038,2,1
1922,343,2174,8,5
2267,404,201,2,2
114,502,1738,8,6
2455,628,2313,9,6
71,525,914,4,5
1558,353,2106,6,3
1886,513,774,6,5
1600,1817,1815,8,8
1953,1023,2288,5,4
45,1711,2420,5,5
177,1881,2301,8,6
1264,397,2373,4,2
553,444,228,6,5
2052,789,2328,1,1
1703,62,1015,2,1
462,2274,1009,5,2
586,1964,2482,7,4
817,1902,204,7,1
906,954,646,2,2
1139,1914,506,1,0
31,1736,2180,2,2
1445,2256,1887,8,7
2180,67,2417,7,4
277,35,422,4,2
339,671,320,4,6
1450,983,802,8,2
1365,2326,828,4,3
1906,1719,1506,5,4
1477,46,410,11,9
2446,1849,406,5,0
1102,413,386,6,3
125,1683,1159,7,4
622,725,1394,1,1
799,274,609,8,4
2334,1681,439,5,4
923,2134,586,7,5
384,512,1295,6,2
2008,2248,895,3,2
1672,2216,1057,3,2
629,2289,211,0,0
737,508,2421,2,1
1751,485,1925,8,4
754,873,795,7,5
2490,416,454,8,4
135,1182,2284,4,2
1966,2126,68,1,1
337,611,641,8,4
1482,191,1055,1,1
1071,1535,2276,4,2
1867,563,2064,5,3
706,666,1481,4,1
1543,1126,1792,4,3
851,1097,268,5,2
1860,860,101,6,4
894,2028,2262,8,2
2373,870,312,3,2
1300,2225,2475,8,9
1285,256,2258,3,2
1041,1567,1427,6,2
1264,1965,1651,8,4
129,1369,647,4,4
1785,446,1995,8,3
685,1065,2322,3,3
358,62,2064,9,8
135,861,401,7,6
238,212,2251,4,2
226,322,803,5,6
708,268,32,9,5
2056,418,572,6,3
2403,1321,1746,6,6
1246,1915,432,12,5
2069,2105,145,7,7
187,1252,2485,7,4
998,1426,2465,6,4
1075,89,148,7,7
1724,1708,338,6,1
1278,683,1516,1,0
520,2030,997,8,5
175,1593,1497,7,6
793,837,864,8,7
2294,1539,1670,7,5
942,607,722,4,4
516,1847,1091,5,2
657,1005,913,8,7
1179,1672,178,7,4
1928,1925,416,7,1
2496,472,1389,2,1
1013,1879,483,6,3
1723,1832,1997,2,1
2448,1612,1532,5,1
720,2143,1819,6,2
866,479,2076,6,4
544,1169,2376,7,7
720,1112,981,8,3
2066,77,1544,9,8
2264,1775,192,4,3
2365,2058,2300,5,5
983,441,1081,7,1
1772,776,1672,4,2
470,804,2357,6,9
2035,867,1603,0,0
1253,750,1139,5,2
2495,1283,1287,11,3
1014,425,742,8,5
653,2325,452,7,10
395,1276,1647,6,1
197,1258,275,6,3
524,380,187,8,2
824,1908,2455,8,2
2363,687,1286,8,3
2430,86,358,2,2
320,860,1991,9,4
1337,442,1171,4,3
1603,508,394,1,1
2277,2228,1456,2,2
2090,1522,1258,8,3
2023,304,1,6,5
2394,776,1765,12,10
2364,935,745,4,2
819,1896,43,3,4
78,399,1575,2,1
417,1649,1100,2,1
27,2278,112,6,3
1957,1202,1404,7,4
328,428,286,5,4
1539,1490,1383,1,0
2467,1148,1657,6,4
1289,1865,1196,8,4
198,832,2020,8,6
890,2146,173,8,5
719,2121,2070,8,8
125,1669,252,4,2
1480,1358,654,1,1
119,256,2196,5,5
118,1152,438,8,5
1407,1029,547,6,3
1221,239,315,8,7
414,2430,1924,8,4
1672,1784,1057,4,4
1718,2443,615,4,1
2127,2299,371,8,7
714,1770,183,1,1
391,981,1742,7,3
2126,1899,1052,6,3
2026,1363,155,7,6
2389,1283,695,2,1
1704,1732,868,4,4
1762,551,1056,4,3
2200,2199,1030,6,3
930,1672,1299,6,4
624,524,2210,7,5
1048,352,2144,8,11
471,659,807,7,10
2355,1425,656,8,3
2055,1985,2166,8,7
602,742,2311,6,1
1823,1746,169,8,4
1468,595,427,4,3
902,2157,1835,6,4
1907,1256,2441,6,6
1672,1891,1572,8,8
1474,2097,788,4,3
703,1730,2463,8,7
403,2221,1096,8,5
1421,1599,726,8,4
1206,1153,1722,7,6
1859,2083,1962,2,0
2107,2359,2256,5,4
628,1141,2078,1,0
1695,225,169,2,1
1395,1894,346,3,2
1862,1314,580,5,4
514,2474,98,7,7
2369,1662,1503,4,4
1986,1254,2041,2,1
489,716,952,8,5
566,436,639,8,6
2407,2426,1281,3,2
1247,296,420,2,1
1600,1124,503,4,1
606,2248,710,4,3
1498,2211,506,3,3
1933,512,2356,5,2
161,884,1877,2,1
1125,785,521,6,2
253,2284,2300,2,1
1489,812,634,4,3
2319,1714,923,4,3
1936,1680,1148,6,3
2455,2251,2166,2,1
618,938,2042,3,2
219,1777,1746,5,3
2426,1309,920,4,5
403,305,858,4,2
302,1734,2357,3,3
2487,2021,1687,8,3
1731,589,529,1,1
2067,2475,1608,5,4
1342,66,1130,4,2
1161,341,2109,6,1
686,1854,2323,4,1
2066,1141,1030,5,2
1341,881,1772,0,1
1538,510,1342,10,7
855,151,1403,1,1
2235,1469,1243,8,2
1734,2134,643,8,3
811,1263,780,5,4
1329,69,1383,7,8
1135,2396,1875,5,2
23,1518,2212,8,8
577,2172,248,7,3
2201,2148,879,8,4
2497,1560,800,8,5
758,1368,1299,5,2
2116,245,2045,7,3
549,1715,1334,3,3
1424,612,2112,2,1
2171,1917,2114,5,4
1330,304,1087,4,2
2410,2247,2272,2,3
343,1044,874,4,3
1595,531,780,5,2
454,2060,1586,6,3
2139,1873,891,2,1
492,379,1195,4,1
1181,345,1122,1,1
2477,1830,1598,5,2
479,362,295,7,5
2452,1878,11,6,2
2165,1955,810,1,1
1665,239,1608,8,4
2188,94,557,9,4
1439,1407,561,6,5
1513,1840,166,6,3
2061,1830,505,6,4
2009,1723,1323,7,5
1637,2065,1524,2,2
1962,2104,1646,6,5
88,1141,79,5,2
2152,1895,2338,6,2
788,838,2482,5,3
141,634,1034,2,2
259,1101,1926,3,1
1031,923,965,6,8
1769,1036,915,4,1
1653,683,1935,5,2
511,619,717,8,5
1979,1057,335,7,3
214,523,735,9,4
1641,2113,321,4,2
1231,1732,105,4,2
1587,1068,1781,7,2
2273,1749,1767,5,1
1145,427,2268,8,4
1714,1319,1457,6,4
1874,19,707,7,4
2242,966,1559,4,3
2121,893,623,8,5
1573,1705,994,7,6
1356,543,1048,7,4
87,2256,635,6,8
559,1189,1174,5,2
628,537,2010,8,1
266,260,2159,3,2
2384,1203,1155,8,1
2437,1897,1318,5,4
1488,1219,1810,4,3
782,1933,2249,2,2
1754,2071,1587,6,6
1668,853,826,6,6
2339,1529,236,1,1
265,1615,717,4,3
1966,2177,1336,5,5
1223,2150,890,6,4
1887,452,2485,5,3
2474,2106,207,6,4
2087,565,1638,2,1
1563,15,649,6,9
990,430,2020,8,3
1218,2378,1344,4,4
1469,612,2139,3,2
1411,872,436,3,3
499,1923,1330,5,2
847,512,1337,5,3
342,383,2481,6,3
400,479,1550,6,4
671,2356,433,3,2
357,1000,1506,1,1
204,721,875,7,2
2236,793,170,8,5
1542,522,1887,8,2
658,379,1849,5,5
1966,107,756,6,2
778,2322,104,5,3
1817,1233,153,6,5
1605,1364,2159,3,3
229,1264,898,8,8
1212,1753,387,6,5
1283,1705,1838,7,7
1707,2024,240,2,2
1445,581,619,9,5
967,1136,539,7,4
1759,1564,1868,5,3
2195,1741,1672,5,3
2156,2267,1125,8,3
314,1806,2123,6,2
428,1889,428,7,7
808,582,129,4,2
1827,310,2427,4,5
1068,2067,912,0,0
1914,1204,1625,8,6
47,1545,1782,3,2
817,1242,1610,7,3
2357,2428,1928,2,1
584,1684,2486,5,2
457,1012,1699,3,3
2345,1389,1536,0,1
99,1531,2103,6,3
281,1275,59,0,0
2008,47,406,5,3
147,231,1387,8,4
1704,1353,1389,7,5
2253,2023,2150,4,2
1501,1736,1007,2,2
560,265,607,2,2
118,1042,387,4,2
1830,1942,1213,6,5
1277,1829,1437,6,7
2383,1116,685,8,8
1635,679,1644,4,2
1532,184,2226,7,3
1895,550,530,3,3
1979,499,1937,8,5
647,1129,2200,8,8
2124,859,1227,7,6
1424,2356,201,5,2
1574,2288,1246,4,1
976,164,1991,8,6
1947,2476,634,6,4
2237,799,753,6,6
61,2157,1831,9,3
156,1393,11,7,6
1645,879,1861,4,5
757,1035,1203,8,3
1166,1303,389,4,2
1100,561,2234,6,6
1233,1034,2029,7,4
2111,121,2423,2,2
583,463,1888,7,10
2206,2364,695,8,5
186,1858,570,1,0
169,2136,458,3,1
2499,1164,555,4,1
1610,2498,305,5,1
1142,990,984,7,3
1391,1605,955,9,3
543,432,1741,0,1
555,307,833,6,6
558,337,118,6,2
1936,1855,2253,2,2
2194,2430,2425,7,9
1554,102,1808,6,3
1243,849,1126,4,3
2153,611,1080,1,0
1853,151,161,4,1
2443,835,22,9,6
442,609,237,4,3
1803,972,172,2,0
1350,584,1816,3,1
29,2452,1486,4,0
1001,1286,86,5,3
406,2214,808,6,9
1107,1555,1013,8,3
384,2146,847,3,1
1719,1497,91,5,3
1522,216,277,5,4
2203,1682,263,6,2
1770,2216,1042,3,2
2487,1411,2105,0,0
1262,559,806,4,3
329,1591,1011,4,2
474,1090,1635,4,3
